Sexo;Edad;Provincias;Periodo;Total
ambos sexos;4 anyos;pais vasco;2020.0;6586.0
ambos sexos;4 anyos;catalunya;2020.0;8049.0
ambos sexos;4 anyos;andalucia;2020.0;8870.0
ambos sexos;4 anyos;castilla-la mancha;2020.0;2706.0
ambos sexos;4 anyos;andalucia;2020.0;5100.0
ambos sexos;4 anyos;aragon;2020.0;1994.0
ambos sexos;4 anyos;andalucia;2020.0;5453.0
ambos sexos;4 anyos;castilla y leon;2020.0;3162.0
ambos sexos;4 anyos;catalunya;2020.0;4253.0
ambos sexos;4 anyos;galicia;2020.0;2232.0
ambos sexos;4 anyos;comunidad de madrid;2020.0;67758.0
ambos sexos;4 anyos;andalucia;2020.0;16537.0
ambos sexos;4 anyos;murcia;2020.0;16564.0
ambos sexos;4 anyos;navarra;2020.0;6484.0
ambos sexos;4 anyos;galicia;2020.0;1948.0
ambos sexos;4 anyos;castilla y leon;2020.0;1224.0
ambos sexos;4 anyos;canarias;2020.0;9059.0
ambos sexos;4 anyos;galicia;2020.0;7336.0
ambos sexos;4 anyos;la rioja;2020.0;2895.0
ambos sexos;4 anyos;castilla y leon;2020.0;2437.0
ambos sexos;4 anyos;canarias;2020.0;8612.0
ambos sexos;4 anyos;castilla y leon;2020.0;1251.0
ambos sexos;4 anyos;andalucia;2020.0;19854.0
ambos sexos;4 anyos;castilla y leon;2020.0;709.0
ambos sexos;4 anyos;catalunya;2020.0;8158.0
ambos sexos;4 anyos;aragon;2020.0;1052.0
ambos sexos;4 anyos;castilla-la mancha;2020.0;7120.0
ambos sexos;4 anyos;comunidad valenciana;2020.0;23788.0
ambos sexos;4 anyos;castilla y leon;2020.0;4374.0
ambos sexos;4 anyos;castilla y leon;2020.0;983.0
ambos sexos;4 anyos;aragon;2020.0;8969.0
ambos sexos;4 anyos;ceuta;2020.0;1031.0
ambos sexos;4 anyos;melilla;2020.0;1414.0
ambos sexos;5 anyos;total nacional;2020.0;447314.0
ambos sexos;5 anyos;castilla-la mancha;2020.0;3619.0
ambos sexos;5 anyos;comunidad valenciana;2020.0;17764.0
ambos sexos;5 anyos;andalucia;2020.0;8253.0
ambos sexos;5 anyos;pais vasco;2020.0;3394.0
ambos sexos;5 anyos;asturias;2020.0;6941.0
ambos sexos;5 anyos;castilla y leon;2020.0;1287.0
ambos sexos;5 anyos;extremadura;2020.0;6145.0
ambos sexos;5 anyos;islas baleares;2020.0;11673.0
ambos sexos;5 anyos;catalunya;2020.0;55239.0
ambos sexos;5 anyos;pais vasco;2020.0;10037.0
ambos sexos;5 anyos;castilla y leon;2020.0;2983.0
ambos sexos;5 anyos;extremadura;2020.0;3040.0
ambos sexos;5 anyos;andalucia;2020.0;12449.0
ambos sexos;5 anyos;cantabria;2020.0;4721.0
ambos sexos;5 anyos;comunidad valenciana;2020.0;5595.0
ambos sexos;5 anyos;castilla-la mancha;2020.0;4297.0
ambos sexos;5 anyos;andalucia;2020.0;7293.0
ambos sexos;5 anyos;galicia;2020.0;8625.0
ambos sexos;5 anyos;castilla-la mancha;2020.0;1647.0
ambos sexos;5 anyos;pais vasco;2020.0;6594.0
ambos sexos;5 anyos;catalunya;2020.0;7975.0
ambos sexos;5 anyos;andalucia;2020.0;8756.0
ambos sexos;5 anyos;castilla-la mancha;2020.0;2700.0
ambos sexos;5 anyos;andalucia;2020.0;5290.0
ambos sexos;5 anyos;aragon;2020.0;1850.0
ambos sexos;5 anyos;andalucia;2020.0;5562.0
ambos sexos;5 anyos;castilla y leon;2020.0;3107.0
ambos sexos;5 anyos;catalunya;2020.0;4321.0
ambos sexos;5 anyos;galicia;2020.0;2237.0
ambos sexos;5 anyos;comunidad de madrid;2020.0;67954.0
ambos sexos;5 anyos;andalucia;2020.0;16941.0
ambos sexos;5 anyos;murcia;2020.0;16880.0
ambos sexos;5 anyos;navarra;2020.0;6721.0
ambos sexos;5 anyos;galicia;2020.0;1947.0
ambos sexos;5 anyos;castilla y leon;2020.0;1228.0
ambos sexos;5 anyos;canarias;2020.0;9399.0
ambos sexos;5 anyos;galicia;2020.0;7693.0
ambos sexos;5 anyos;la rioja;2020.0;3045.0
ambos sexos;5 anyos;castilla y leon;2020.0;2420.0
ambos sexos;5 anyos;canarias;2020.0;8751.0
ambos sexos;5 anyos;castilla y leon;2020.0;1356.0
ambos sexos;5 anyos;andalucia;2020.0;20421.0
ambos sexos;5 anyos;castilla y leon;2020.0;684.0
ambos sexos;5 anyos;catalunya;2020.0;8242.0
ambos sexos;5 anyos;aragon;2020.0;1183.0
ambos sexos;5 anyos;castilla-la mancha;2020.0;7282.0
ambos sexos;5 anyos;comunidad valenciana;2020.0;24401.0
ambos sexos;5 anyos;castilla y leon;2020.0;4449.0
ambos sexos;5 anyos;castilla y leon;2020.0;1024.0
ambos sexos;5 anyos;aragon;2020.0;9281.0
ambos sexos;5 anyos;ceuta;2020.0;1100.0
ambos sexos;5 anyos;melilla;2020.0;1523.0
ambos sexos;6 anyos;total nacional;2020.0;442843.0
ambos sexos;6 anyos;castilla-la mancha;2020.0;3632.0
ambos sexos;6 anyos;comunidad valenciana;2020.0;17539.0
ambos sexos;6 anyos;andalucia;2020.0;7965.0
ambos sexos;6 anyos;pais vasco;2020.0;3290.0
ambos sexos;6 anyos;asturias;2020.0;6990.0
ambos sexos;6 anyos;castilla y leon;2020.0;1207.0
ambos sexos;6 anyos;extremadura;2020.0;6001.0
ambos sexos;6 anyos;islas baleares;2020.0;11488.0
ambos sexos;6 anyos;catalunya;2020.0;54219.0
ambos sexos;6 anyos;pais vasco;2020.0;10018.0
ambos sexos;6 anyos;castilla y leon;2020.0;3138.0
ambos sexos;6 anyos;extremadura;2020.0;2995.0
ambos sexos;6 anyos;andalucia;2020.0;12208.0
ambos sexos;6 anyos;cantabria;2020.0;4990.0
ambos sexos;6 anyos;comunidad valenciana;2020.0;5717.0
ambos sexos;6 anyos;castilla-la mancha;2020.0;4549.0
ambos sexos;6 anyos;andalucia;2020.0;7234.0
ambos sexos;6 anyos;galicia;2020.0;8843.0
ambos sexos;6 anyos;castilla-la mancha;2020.0;1636.0
ambos sexos;6 anyos;pais vasco;2020.0;6556.0
ambos sexos;6 anyos;catalunya;2020.0;8000.0
ambos sexos;6 anyos;andalucia;2020.0;8533.0
ambos sexos;6 anyos;castilla-la mancha;2020.0;2791.0
ambos sexos;6 anyos;andalucia;2020.0;5343.0
ambos sexos;6 anyos;aragon;2020.0;2069.0
ambos sexos;6 anyos;andalucia;2020.0;5398.0
ambos sexos;6 anyos;castilla y leon;2020.0;3109.0
ambos sexos;6 anyos;catalunya;2020.0;4236.0
ambos sexos;6 anyos;galicia;2020.0;2141.0
ambos sexos;6 anyos;comunidad de madrid;2020.0;67428.0
ambos sexos;6 anyos;andalucia;2020.0;16912.0
ambos sexos;6 anyos;murcia;2020.0;16719.0
ambos sexos;6 anyos;navarra;2020.0;6481.0
ambos sexos;6 anyos;galicia;2020.0;1951.0
ambos sexos;6 anyos;castilla y leon;2020.0;1194.0
ambos sexos;6 anyos;canarias;2020.0;9245.0
ambos sexos;6 anyos;galicia;2020.0;7585.0
ambos sexos;6 anyos;la rioja;2020.0;2977.0
ambos sexos;6 anyos;castilla y leon;2020.0;2330.0
ambos sexos;6 anyos;canarias;2020.0;8339.0
ambos sexos;6 anyos;castilla y leon;2020.0;1233.0
ambos sexos;6 anyos;andalucia;2020.0;20310.0
ambos sexos;6 anyos;castilla y leon;2020.0;708.0
ambos sexos;6 anyos;catalunya;2020.0;8081.0
ambos sexos;6 anyos;aragon;2020.0;1154.0
ambos sexos;6 anyos;castilla-la mancha;2020.0;7222.0
ambos sexos;6 anyos;comunidad valenciana;2020.0;24176.0
ambos sexos;6 anyos;castilla y leon;2020.0;4509.0
ambos sexos;6 anyos;castilla y leon;2020.0;1050.0
ambos sexos;6 anyos;aragon;2020.0;9018.0
ambos sexos;6 anyos;ceuta;2020.0;1018.0
ambos sexos;6 anyos;melilla;2020.0;1370.0
ambos sexos;7 anyos;total nacional;2020.0;466798.0
ambos sexos;7 anyos;castilla-la mancha;2020.0;3698.0
ambos sexos;7 anyos;comunidad valenciana;2020.0;18439.0
ambos sexos;7 anyos;andalucia;2020.0;8118.0
ambos sexos;7 anyos;pais vasco;2020.0;3492.0
ambos sexos;7 anyos;asturias;2020.0;7855.0
ambos sexos;7 anyos;castilla y leon;2020.0;1285.0
ambos sexos;7 anyos;extremadura;2020.0;6462.0
ambos sexos;7 anyos;islas baleares;2020.0;11961.0
ambos sexos;7 anyos;catalunya;2020.0;57654.0
ambos sexos;7 anyos;pais vasco;2020.0;10581.0
ambos sexos;7 anyos;castilla y leon;2020.0;3190.0
ambos sexos;7 anyos;extremadura;2020.0;2965.0
ambos sexos;7 anyos;andalucia;2020.0;13195.0
ambos sexos;7 anyos;cantabria;2020.0;5216.0
ambos sexos;7 anyos;comunidad valenciana;2020.0;5946.0
ambos sexos;7 anyos;castilla-la mancha;2020.0;4801.0
ambos sexos;7 anyos;andalucia;2020.0;7662.0
ambos sexos;7 anyos;galicia;2020.0;9371.0
ambos sexos;7 anyos;castilla-la mancha;2020.0;1629.0
ambos sexos;7 anyos;pais vasco;2020.0;7156.0
ambos sexos;7 anyos;catalunya;2020.0;8388.0
ambos sexos;7 anyos;andalucia;2020.0;9244.0
ambos sexos;7 anyos;castilla-la mancha;2020.0;2952.0
ambos sexos;7 anyos;andalucia;2020.0;5274.0
ambos sexos;7 anyos;aragon;2020.0;1973.0
ambos sexos;7 anyos;andalucia;2020.0;5850.0
ambos sexos;7 anyos;castilla y leon;2020.0;3313.0
ambos sexos;7 anyos;catalunya;2020.0;4457.0
ambos sexos;7 anyos;galicia;2020.0;2314.0
ambos sexos;7 anyos;comunidad de madrid;2020.0;69810.0
ambos sexos;7 anyos;andalucia;2020.0;17866.0
ambos sexos;7 anyos;murcia;2020.0;17114.0
ambos sexos;7 anyos;navarra;2020.0;7102.0
ambos sexos;7 anyos;galicia;2020.0;1997.0
ambos sexos;7 anyos;castilla y leon;2020.0;1202.0
ambos sexos;7 anyos;canarias;2020.0;9618.0
ambos sexos;7 anyos;galicia;2020.0;8174.0
ambos sexos;7 anyos;la rioja;2020.0;3205.0
ambos sexos;7 anyos;castilla y leon;2020.0;2566.0
ambos sexos;7 anyos;canarias;2020.0;9349.0
ambos sexos;7 anyos;castilla y leon;2020.0;1368.0
ambos sexos;7 anyos;andalucia;2020.0;21234.0
ambos sexos;7 anyos;castilla y leon;2020.0;754.0
ambos sexos;7 anyos;catalunya;2020.0;8572.0
ambos sexos;7 anyos;aragon;2020.0;1159.0
ambos sexos;7 anyos;castilla-la mancha;2020.0;7736.0
ambos sexos;7 anyos;comunidad valenciana;2020.0;25875.0
ambos sexos;7 anyos;castilla y leon;2020.0;4749.0
ambos sexos;7 anyos;castilla y leon;2020.0;1141.0
ambos sexos;7 anyos;aragon;2020.0;9248.0
ambos sexos;7 anyos;ceuta;2020.0;1099.0
ambos sexos;7 anyos;melilla;2020.0;1420.0
ambos sexos;8 anyos;total nacional;2020.0;484246.0
ambos sexos;8 anyos;castilla-la mancha;2020.0;3942.0
ambos sexos;8 anyos;comunidad valenciana;2020.0;18706.0
ambos sexos;8 anyos;andalucia;2020.0;8290.0
ambos sexos;8 anyos;pais vasco;2020.0;3630.0
ambos sexos;8 anyos;asturias;2020.0;8090.0
ambos sexos;8 anyos;castilla y leon;2020.0;1389.0
ambos sexos;8 anyos;extremadura;2020.0;6607.0
ambos sexos;8 anyos;islas baleares;2020.0;12155.0
ambos sexos;8 anyos;catalunya;2020.0;60621.0
ambos sexos;8 anyos;pais vasco;2020.0;10983.0
ambos sexos;8 anyos;castilla y leon;2020.0;3257.0
