Sexo;Edad;Provincias;Periodo;Total
ambos sexos;5;segovia;1 de enero de 2020;1.356
ambos sexos;5;sevilla;1 de enero de 2020;20.421
ambos sexos;5;soria;1 de enero de 2020;684
ambos sexos;5;tarragona;1 de enero de 2020;8.242
ambos sexos;5;teruel;1 de enero de 2020;1.183
ambos sexos;5;toledo;1 de enero de 2020;7.282
ambos sexos;5;valencia/valencia;1 de enero de 2020;24.401
ambos sexos;5;valladolid;1 de enero de 2020;4.449
ambos sexos;5;zamora;1 de enero de 2020;1.024
ambos sexos;5;zaragoza;1 de enero de 2020;9.281
ambos sexos;5;ceuta;1 de enero de 2020;1.100
ambos sexos;5;melilla;1 de enero de 2020;1.523
ambos sexos;6;total nacional;1 de enero de 2020;442.843
ambos sexos;6;albacete;1 de enero de 2020;3.632
ambos sexos;6;alicante/alacant;1 de enero de 2020;17.539
ambos sexos;6;almeria;1 de enero de 2020;7.965
ambos sexos;6;araba/alava;1 de enero de 2020;3.290
ambos sexos;6;asturias;1 de enero de 2020;6.990
ambos sexos;6;avila;1 de enero de 2020;1.207
ambos sexos;6;badajoz;1 de enero de 2020;6.001
ambos sexos;6;balears, illes;1 de enero de 2020;11.488
ambos sexos;6;barcelona;1 de enero de 2020;54.219
ambos sexos;6;bizkaia;1 de enero de 2020;10.018
ambos sexos;6;burgos;1 de enero de 2020;3.138
ambos sexos;6;caceres;1 de enero de 2020;2.995
ambos sexos;6;cadiz;1 de enero de 2020;12.208
ambos sexos;6;cantabria;1 de enero de 2020;4.990
ambos sexos;6;castellon/castello;1 de enero de 2020;5.717
ambos sexos;6;ciudad real;1 de enero de 2020;4.549
ambos sexos;6;cordoba;1 de enero de 2020;7.234
ambos sexos;6;corunya, a;1 de enero de 2020;8.843
ambos sexos;6;cuenca;1 de enero de 2020;1.636
ambos sexos;6;gipuzkoa;1 de enero de 2020;6.556
ambos sexos;6;girona;1 de enero de 2020;8.000
ambos sexos;6;granada;1 de enero de 2020;8.533
ambos sexos;6;guadalajara;1 de enero de 2020;2.791
ambos sexos;6;huelva;1 de enero de 2020;5.343
ambos sexos;6;huesca;1 de enero de 2020;2.069
ambos sexos;6;jaen;1 de enero de 2020;5.398
ambos sexos;6;leon;1 de enero de 2020;3.109
ambos sexos;6;lleida;1 de enero de 2020;4.236
ambos sexos;6;lugo;1 de enero de 2020;2.141
ambos sexos;6;madrid;1 de enero de 2020;67.428
ambos sexos;6;malaga;1 de enero de 2020;16.912
ambos sexos;6;murcia;1 de enero de 2020;16.719
ambos sexos;6;navarra;1 de enero de 2020;6.481
ambos sexos;6;ourense;1 de enero de 2020;1.951
ambos sexos;6;palencia;1 de enero de 2020;1.194
ambos sexos;6;palmas, las;1 de enero de 2020;9.245
ambos sexos;6;pontevedra;1 de enero de 2020;7.585
ambos sexos;6;rioja, la;1 de enero de 2020;2.977
ambos sexos;6;salamanca;1 de enero de 2020;2.330
ambos sexos;6;santa cruz de tenerife;1 de enero de 2020;8.339
ambos sexos;6;segovia;1 de enero de 2020;1.233
ambos sexos;6;sevilla;1 de enero de 2020;20.310
ambos sexos;6;soria;1 de enero de 2020;708
ambos sexos;6;tarragona;1 de enero de 2020;8.081
ambos sexos;6;teruel;1 de enero de 2020;1.154
ambos sexos;6;toledo;1 de enero de 2020;7.222
ambos sexos;6;valencia/valencia;1 de enero de 2020;24.176
ambos sexos;6;valladolid;1 de enero de 2020;4.509
ambos sexos;6;zamora;1 de enero de 2020;1.050
ambos sexos;6;zaragoza;1 de enero de 2020;9.018
ambos sexos;6;ceuta;1 de enero de 2020;1.018
ambos sexos;6;melilla;1 de enero de 2020;1.370
ambos sexos;7;total nacional;1 de enero de 2020;466.798
ambos sexos;7;albacete;1 de enero de 2020;3.698
ambos sexos;7;alicante/alacant;1 de enero de 2020;18.439
ambos sexos;7;almeria;1 de enero de 2020;8.118
ambos sexos;7;araba/alava;1 de enero de 2020;3.492
ambos sexos;7;asturias;1 de enero de 2020;7.855
ambos sexos;7;avila;1 de enero de 2020;1.285
ambos sexos;7;badajoz;1 de enero de 2020;6.462
ambos sexos;7;balears, illes;1 de enero de 2020;11.961
ambos sexos;7;barcelona;1 de enero de 2020;57.654
ambos sexos;7;bizkaia;1 de enero de 2020;10.581
ambos sexos;7;burgos;1 de enero de 2020;3.190
ambos sexos;7;caceres;1 de enero de 2020;2.965
ambos sexos;7;cadiz;1 de enero de 2020;13.195
ambos sexos;7;cantabria;1 de enero de 2020;5.216
ambos sexos;7;castellon/castello;1 de enero de 2020;5.946
ambos sexos;7;ciudad real;1 de enero de 2020;4.801
ambos sexos;7;cordoba;1 de enero de 2020;7.662
ambos sexos;7;corunya, a;1 de enero de 2020;9.371
ambos sexos;7;cuenca;1 de enero de 2020;1.629
ambos sexos;7;gipuzkoa;1 de enero de 2020;7.156
ambos sexos;7;girona;1 de enero de 2020;8.388
ambos sexos;7;granada;1 de enero de 2020;9.244
ambos sexos;7;guadalajara;1 de enero de 2020;2.952
ambos sexos;7;huelva;1 de enero de 2020;5.274
ambos sexos;7;huesca;1 de enero de 2020;1.973
ambos sexos;7;jaen;1 de enero de 2020;5.850
ambos sexos;7;leon;1 de enero de 2020;3.313
ambos sexos;7;lleida;1 de enero de 2020;4.457
ambos sexos;7;lugo;1 de enero de 2020;2.314
ambos sexos;7;madrid;1 de enero de 2020;69.810
ambos sexos;7;malaga;1 de enero de 2020;17.866
ambos sexos;7;murcia;1 de enero de 2020;17.114
ambos sexos;7;navarra;1 de enero de 2020;7.102
ambos sexos;7;ourense;1 de enero de 2020;1.997
ambos sexos;7;palencia;1 de enero de 2020;1.202
ambos sexos;7;palmas, las;1 de enero de 2020;9.618
ambos sexos;7;pontevedra;1 de enero de 2020;8.174
ambos sexos;7;rioja, la;1 de enero de 2020;3.205
ambos sexos;7;salamanca;1 de enero de 2020;2.566
ambos sexos;7;santa cruz de tenerife;1 de enero de 2020;9.349
ambos sexos;7;segovia;1 de enero de 2020;1.368
ambos sexos;7;sevilla;1 de enero de 2020;21.234
ambos sexos;7;soria;1 de enero de 2020;754
ambos sexos;7;tarragona;1 de enero de 2020;8.572
ambos sexos;7;teruel;1 de enero de 2020;1.159
ambos sexos;7;toledo;1 de enero de 2020;7.736
ambos sexos;7;valencia/valencia;1 de enero de 2020;25.875
ambos sexos;7;valladolid;1 de enero de 2020;4.749
ambos sexos;7;zamora;1 de enero de 2020;1.141
ambos sexos;7;zaragoza;1 de enero de 2020;9.248
ambos sexos;7;ceuta;1 de enero de 2020;1.099
ambos sexos;7;melilla;1 de enero de 2020;1.420
ambos sexos;8;total nacional;1 de enero de 2020;484.246
ambos sexos;8;albacete;1 de enero de 2020;3.942
ambos sexos;8;alicante/alacant;1 de enero de 2020;18.706
ambos sexos;8;almeria;1 de enero de 2020;8.290
ambos sexos;8;araba/alava;1 de enero de 2020;3.630
ambos sexos;8;asturias;1 de enero de 2020;8.090
ambos sexos;8;avila;1 de enero de 2020;1.389
ambos sexos;8;badajoz;1 de enero de 2020;6.607
ambos sexos;8;balears, illes;1 de enero de 2020;12.155
ambos sexos;8;barcelona;1 de enero de 2020;60.621
ambos sexos;8;bizkaia;1 de enero de 2020;10.983
ambos sexos;8;burgos;1 de enero de 2020;3.257
ambos sexos;8;caceres;1 de enero de 2020;3.414
ambos sexos;8;cadiz;1 de enero de 2020;13.483
ambos sexos;8;cantabria;1 de enero de 2020;5.469
ambos sexos;8;castellon/castello;1 de enero de 2020;6.123
ambos sexos;8;ciudad real;1 de enero de 2020;5.010
ambos sexos;8;cordoba;1 de enero de 2020;7.886
ambos sexos;8;corunya, a;1 de enero de 2020;9.586
ambos sexos;8;cuenca;1 de enero de 2020;1.750
ambos sexos;8;gipuzkoa;1 de enero de 2020;7.334
